id,original_language,title,popularity,release_date,vote_average,vote_count,weighted_rating
553,EN,Dogville,21.859,2003-05-21,7.78,2363,18384.14
843906,EN,Straight Outta Nowhere: Scooby-Doo! Meets Courage the Cowardly Dog,20.779,2021-09-14,7.778,379,2947.8619999999996
141,EN,Donnie Darko,72.002,2001-01-19,7.778,12253,95303.83399999999
976893,JA,Perfect Days,65.241,2023-11-10,7.777,1035,8049.195
169813,EN,Short Term 12,13.766,2013-08-23,7.8,1266,9874.8
11049,EN,Interstella 5555: The 5tory of the 5ecret 5tar 5ystem,16.138,2003-05-28,7.775,405,3148.875
24480,EN,Partly Cloudy,15.594,2009-05-28,7.77,1019,7917.629999999999
5961,SV,Fanny and Alexander,14.041,1982-12-17,7.774,744,5783.856
666277,EN,Past Lives,51.997,2023-06-02,7.773,1519,11807.187
5511,FR,Le Samouraï,31.812,1967-10-25,7.772,1046,8129.512000000001
86837,FR,Amour,18.207,2012-09-20,7.771,1573,12223.783
126319,FR,Ernest & Celestine,36.687,2012-12-12,7.769,590,4583.71
792307,EN,Poor Things,128.011,2023-12-07,7.769,3862,30003.878
11005,EN,Awakenings,53.522,1990-12-04,7.768,2483,19287.944
117,EN,The Untouchables,36.763,1987-06-03,7.768,5520,42879.36
1700,EN,Misery,24.082,1990-11-30,7.764,4563,35427.132
165,EN,Back to the Future Part II,46.797,1989-11-22,7.764,12580,97671.12000000001
882569,EN,Guy Ritchie's The Covenant,81.021,2023-04-19,7.763,2394,18584.622
22596,EN,Safety Last!,12.348,1923-04-01,7.763,491,3811.633
20126,IT,Deep Red,16.035,1975-03-07,7.763,1423,11046.749
1480,EN,Touch of Evil,27.58,1958-03-30,7.763,1396,10837.148
144,DE,Wings of Desire,31.865,1987-09-23,7.763,1277,9913.351
583,EN,Life of Brian,30.068,1979-08-17,7.8,4307,33594.6
380,EN,Rain Man,34.639,1988-12-12,7.8,6237,48648.6
760774,EN,One Life,55.642,2023-12-21,7.758,550,4266.9
359784,EN,Maudie,15.66,2016-06-16,7.761,464,3601.1040000000003
12496,JA,The Twilight Samurai,24.168,2002-11-02,7.8,307,2394.6
925,EN,Do the Right Thing,22.957,1989-06-14,7.761,1723,13372.203
587,EN,Big Fish,37.923,2003-12-25,7.761,7065,54831.465000000004
705861,EN,Hustle,35.773,2022-06-03,7.76,2460,19089.6
6844,EN,The Ten Commandments,64.729,1956-10-05,7.76,1583,12284.08
336804,TR,Mustang,16.474,2015-06-17,7.759,1353,10497.927
14756,CN,Ip Man,18.214,2008-12-12,7.759,3699,28700.541
303,EN,Notorious,29.779,1946-08-21,7.757,1558,12085.405999999999
29845,EN,A Woman Under the Influence,16.601,1974-11-18,7.758,467,3622.986
13855,KO,The Chaser,31.678,2008-02-14,7.758,1296,10054.368
143,EN,All Quiet on the Western Front,30.911,1930-04-29,7.758,779,6043.482
1002185,EN,A Million Miles Away,31.14,2023-09-08,7.757,418,3242.426
937278,EN,A Man Called Otto,53.657,2022-12-28,7.756,2525,19583.9
317442,JA,The Last: Naruto the Movie,53.039,2014-12-06,7.756,1816,14084.896
10229,EN,A Walk to Remember,46.878,2002-01-25,7.756,3997,31000.732
1417,ES,Pan's Labyrinth,67.045,2006-10-10,7.756,10389,80577.084
579974,TE,RRR,66.108,2022-03-24,7.8,1248,9734.4
166428,EN,How to Train Your Dragon: The Hidden World,76.898,2019-01-03,7.755,6271,48631.604999999996
17483,EN,Shelter,15.501,2007-06-16,7.8,469,3658.2
15916,JA,Angel's Egg,17.429,1985-12-22,7.755,408,3164.04
396535,KO,Train to Busan,91.99,2016-07-20,7.753,7271,56372.063
12444,EN,Harry Potter and the Deathly Hallows: Part 1,134.024,2010-11-17,7.8,18807,146694.6
